id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
4360480,Spencer Petras,Iowa,1,-3.673,-3.673,-3.673,,QB,2018
4362365,Davis Brin,Tulsa,1,-2.342,-2.342,,-2.342,QB,2018
4360716,Joshua Stoner,Air Force,1,-1.965,-1.965,,-1.965,RB,2018
4035821,Matt Lynch,UCLA,1,-1.778,-1.778,,-1.778,TE,2018
4036262,Brandon Peters,Michigan,2,-1.724,-3.448,-3.448,,QB,2018
4033782,Mike Fiacable,Indiana,2,-1.642,-3.285,,-3.285,QB,2018
4363414,Werlean Pollock,UAB,1,-1.441,-1.441,,-1.441,RB,2018
4256908,Matthew Considine,Wake Forest,2,-1.432,-2.864,-2.864,,QB,2018
4372000,John Stephen Jones,Arkansas,7,-1.37,-9.59,-9.608,0.018,QB,2018
4372613,Jake Peters,Arizona,1,-1.356,-1.356,-1.356,,TE,2018
4259266,Cameron Bent,Charlotte,2,-1.281,-2.561,,-2.561,WR,2018
4038961,Cam McCormick,Oregon,1,-1.26,-1.26,-1.26,,TE,2018
4048096,Drew Lisk,Utah,1,-1.247,-1.247,,-1.247,QB,2018
4361516,Daniel Bellinger,San Diego State,3,-1.22,-3.661,-3.661,,TE,2018
4255985,Aidan Willard,Oregon State,2,-1.209,-2.418,-2.418,,QB,2018
4240886,Rodney Hall,Northern Illinois,1,-1.209,-1.209,-1.209,,WR,2018
4406622,J.S. Jones,Arkansas,1,-1.2,-1.2,,-1.2,RB,2018
4369863,Cedric Tillman,Tennessee,1,-1.135,-1.135,-1.135,,WR,2018
3920864,Jaquavis Dixon,Akron,1,-1.108,-1.108,-1.108,,WR,2018
3125881,Zaquon Tyson,Kent State,1,-1.096,-1.096,-1.096,,WR,2018
3932345,Beau Hoge,BYU,4,-1.086,-4.344,,-4.344,QB,2018
3915300,Colton Cardinal,Boston College,1,-1.074,-1.074,-1.074,,FB,2018
3672880,Alex James Malzone,Miami (OH),4,-1.061,-4.245,-4.245,,QB,2018
4360407,Jarett Garner,Duke,1,-1.025,-1.025,-1.025,,WR,2018
4245107,Marcelo Rodriguez,Southern Mississippi,7,-1.023,-7.159,-7.12,-0.039,QB,2018
3923418,Colton Cerday,Houston,1,-1.015,-1.015,-1.015,,WR,2018
3929848,DeAndre McNeal,Florida Atlantic,3,-0.999,-2.998,-2.998,,WR,2018
3917788,Keyston Fuller,Duke,3,-0.973,-2.918,-2.918,,WR,2018
4362915,Gerry Bohannon,Baylor,1,-0.969,-0.969,-0.969,,QB,2018
4360137,Cam Coleman,East Carolina,1,-0.969,-0.969,,-0.969,RB,2018
4362208,Sam James,West Virginia,3,-0.949,-2.847,-2.847,,WR,2018
4362632,Chris Curry,LSU,8,-0.933,-7.467,,-7.467,RB,2018
4035116,Brendan Scales,Missouri,1,-0.926,-0.926,-0.926,,TE,2018
4048091,Connor Haller,Utah,3,-0.909,-2.726,-2.726,,TE,2018
4044447,Jack Richardson,Stanford,2,-0.891,-1.782,-1.782,,QB,2018
4291782,Chase Cunningham,Middle Tennessee,2,-0.889,-1.778,-0.752,-1.026,QB,2018
4244804,Preston Hutchinson,Eastern Michigan,1,-0.874,-0.874,,-0.874,QB,2018
4242169,Jonathan Nance,Arkansas,1,-0.856,-0.856,-0.856,,WR,2018
4035559,Dylan Soehner,Iowa State,1,-0.855,-0.855,-0.855,,TE,2018
3919102,James Brunson,Florida Atlantic,1,-0.846,-0.846,-0.846,,WR,2018
4362431,Justin Rogers,TCU,2,-0.835,-1.67,-1.67,,QB,2018
4260311,Caleb Green,Akron,1,-0.833,-0.833,,-0.833,RB,2018
4241684,LeDarrius Harris,Texas State,1,-0.83,-0.83,,-0.83,RB,2018
4039469,Anthony Thompson,Northern Illinois,3,-0.827,-2.48,-1.922,-0.559,QB,2018
4259729,Baden Pinson,Coastal Carolina,3,-0.827,-2.481,,-2.481,RB,2018
4370797,Billy Kemp,Virginia,2,-0.822,-1.644,-1.644,,WR,2018
4240142,Alex Ramart,Akron,38,-0.821,-31.207,-29.258,-1.949,QB,2018
