id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position
4695223,Chase Curtis,TCU,1,-4.112,-4.112,,-4.112,WR
4373665,Connor Riddle,Boise State,1,-3.303,-3.303,,-3.303,WR
4427491,Larry Hodges,Miami,2,-2.281,-4.562,-4.562,,TE
4240654,Brian Polendey,Colorado State,1,-2.277,-2.277,-2.277,,TE
4572366,Andrew Brito,UMass,1,-1.962,-1.962,-1.962,,QB
4047652,Jacob Mathis,South Florida,1,-1.896,-1.896,-1.896,,TE
4567543,Justin Ball,Vanderbilt,1,-1.638,-1.638,-1.638,,TE
4361048,Patrick McSweeney,Coastal Carolina,2,-1.623,-3.245,-3.245,,TE
4429583,Jeremiah Fails,Western Kentucky,2,-1.569,-3.137,-3.137,,WR
4568687,Sincere Brown,South Florida,2,-1.443,-2.886,-2.886,,WR
4259363,Isaac Martin,Louisville,2,-1.278,-2.555,-2.555,,TE
4374101,Jyran Mitchell,Northern Illinois,2,-1.273,-2.545,,-2.545,WR
4360951,Preston Jelen,Minnesota,1,-1.228,-1.228,,-1.228,RB
4244599,Shamari Brooks,Tulsa,1,-1.216,-1.216,-1.216,,RB
4695619,Austin Erickson,New Mexico,1,-1.159,-1.159,-1.159,,WR
4609699,Makari Pruitt,Georgia State,3,-1.127,-3.382,,-3.382,RB
4429595,Chandler Fields,Louisiana,7,-1.121,-7.844,-7.844,,QB
4430823,Thaiu Jones-Bell,Alabama,1,-1.085,-1.085,-1.085,,WR
4570422,LaBronz Davis,Bowling Green,2,-1.08,-2.16,-2.16,,QB
4427158,Jah'Quez Evans,South Florida,2,-1.064,-2.128,-2.191,0.064,WR
4570296,Dalen Cambre,Louisiana,3,-1.028,-3.085,-3.085,,WR
4692660,Malachi Wideman,Tennessee,3,-1.003,-3.008,-3.008,,WR
4259250,Daniel Leconte,Florida Atlantic,2,-0.965,-1.93,,-1.93,RB
4259209,Josh Jackson,Clemson,1,-0.936,-0.936,-0.936,,WR
4040903,Saevion Johnson,Fresno State,1,-0.863,-0.863,,-0.863,RB
4361293,Thomas Pannunzio,Colorado State,1,-0.853,-0.853,,-0.853,WR
4360886,Terrence Horne,South Florida,4,-0.845,-3.379,-3.379,,WR
4569450,Graeson Malashevich,West Virginia,4,-0.842,-3.366,-0.026,-3.34,WR
4568490,RJ Harvey,UCF,3,-0.834,-2.502,,-2.502,RB
4046743,Grant Loy,Auburn,4,-0.834,-3.338,-2.082,-1.255,QB
4701283,Marquis Whitmire,Akron,2,-0.818,-1.635,-1.635,,WR
4569166,Todd Hudson,Oklahoma,6,-0.811,-4.867,,-4.867,RB
4426645,Jouvensly Bazil,Washington State,1,-0.81,-0.81,,-0.81,RB
4596298,Leroy Deshazor,Arkansas State,2,-0.804,-1.608,-1.608,,WR
4575862,Trebor Pena,Syracuse,1,-0.801,-0.801,-0.801,,WR
