id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
500455,Zack Wynn,Western Michigan,1,-2.321,-2.321,-2.321,,QB,2013
517283,Andrew Frerking,Baylor,2,-2.015,-4.031,,-4.031,QB,2013
513408,Hassan Dixon,Temple,1,-1.8,-1.8,,-1.8,RB,2013
511390,Rob Burns,Virginia,1,-1.437,-1.437,-1.437,,TE,2013
530721,Jamel Harbison,Minnesota,1,-1.395,-1.395,,-1.395,WR,2013
514780,Devin Boutte,Tulane,1,-1.317,-1.317,,-1.317,WR,2013
481154,Jake Bernards,San Diego State,1,-1.159,-1.159,-1.159,,QB,2013
522941,Chris Burrell,Cincinnati,1,-1.158,-1.158,-1.158,,WR,2013
521263,Matthew Quinn,UMass,1,-1.158,-1.158,-1.158,,QB,2013
550180,Dan Monteroso,Purdue,1,-1.157,-1.157,,-1.157,WR,2013
550592,Dontel James,Fresno State,3,-1.12,-3.36,,-3.36,RB,2013
530402,Jameson Labady,Miami,4,-1.102,-4.409,,-4.409,RB,2013
500223,Sam McNearney,Georgia Tech,2,-1.079,-2.158,,-2.158,RB,2013
505844,Jerick McKinnon,Georgia Southern,1,-1.048,-1.048,-1.048,,WR,2013
539020,Ricky Fergerson,Appalachian State,2,-1.021,-2.043,,-2.043,RB,2013
531254,Ishmael Adams,UCLA,1,-1.002,-1.002,,-1.002,WR,2013
532435,Grant Venham,Ohio,2,-0.899,-1.798,,-1.798,WR,2013
512223,Trey Fetner,South Alabama,6,-0.885,-5.309,-1.758,-3.551,QB,2013
514250,Tristin Boykin,Kent State,1,-0.856,-0.856,,-0.856,RB,2013
536465,Jayson Carter,Rice,1,-0.811,-0.811,,-0.811,RB,2013
480977,Jeff Manning,Utah State,3,-0.787,-2.362,,-2.362,QB,2013
551182,Dontravious Wilson,UCF,9,-0.783,-7.051,,-7.051,RB,2013
512165,Merritt Hall,Georgia,2,-0.775,-1.55,-0.167,-1.383,FB,2013
502885,Joe McKay,Colorado State,1,-0.771,-0.771,,-0.771,TE,2013
537015,Haamid Williams,Clemson,3,-0.737,-2.212,,-2.212,RB,2013
482966,Jimmy Booth,East Carolina,1,-0.703,-0.703,,-0.703,FB,2013
512238,Julien Valentin,South Alabama,15,-0.681,-10.216,,-10.216,RB,2013
483219,Charley Loeb,Syracuse,9,-0.674,-6.07,1.922,-7.993,QB,2013
552226,Rodriguez Moore,Cincinnati,4,-0.663,-2.654,,-2.654,RB,2013
515206,Corbin Berkstresser,Missouri,1,-0.659,-0.659,-0.659,,QB,2013
532637,Corey Jones,Toledo,2,-0.64,-1.281,,-1.281,WR,2013
518229,Darien McNeill,North Carolina,1,-0.622,-0.622,-0.622,,WR,2013
516371,Patrick Skov,Stanford,1,-0.616,-0.616,-0.616,,FB,2013
481559,C.J. Zimmerer,Nebraska,1,-0.61,-0.61,-0.61,,FB,2013
532662,Michael Henry,Western Michigan,1,-0.607,-0.607,-0.607,,WR,2013
485026,Ammon Olsen,BYU,4,-0.603,-2.412,-2.276,-0.137,QB,2013
534253,P.J. Gallo,Maryland,1,-0.599,-0.599,-0.599,,TE,2013
534791,Bilal Marshall,Purdue,1,-0.582,-0.582,-0.582,,WR,2013
536443,Darmontre Warr,Western Kentucky,2,-0.569,-1.138,,-1.138,RB,2013
501817,Tyler Gabbert,UCF,3,-0.567,-1.702,-1.702,,QB,2013
377783,Curt Phillips,Wisconsin,16,-0.561,-8.971,-9.018,0.046,QB,2013
545968,Marquis Walker,Arkansas State,11,-0.545,-5.998,,-5.998,RB,2013
530490,Damien Washington,North Carolina,1,-0.533,-0.533,,-0.533,WR,2013
549960,Josh Taylor,NC State,3,-0.507,-1.52,-0.325,-1.195,QB,2013
512730,Cole Banham,Minnesota,2,-0.503,-1.006,,-1.006,RB,2013
535614,Donta Abron,Colorado,21,-0.498,-10.46,,-10.46,RB,2013
531552,Ozzie Mann,Ball State,9,-0.487,-4.379,-4.379,,QB,2013
535076,Sam Shisso,Miami (OH),1,-0.484,-0.484,-0.484,,WR,2013
531427,D'Shaie Landor,Louisiana,8,-0.483,-3.867,-1.373,-2.494,QB,2013
482556,Jovan Stevenson,Oregon State,2,-0.48,-0.961,,-0.961,RB,2013
545290,Jalen Latter,Wake Forest,1,-0.477,-0.477,,-0.477,WR,2013
517520,Cal Spangler,Baylor,1,-0.469,-0.469,-0.469,,WR,2013
515496,Nate Carter,BYU,1,-0.463,-0.463,,-0.463,RB,2013
